Отчет;;;;;;;;;;;;;;;;;
c 18.07.2021 по 25.07.2023;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
#;Дата;id;utm_1;utm_2;utm_3;Имя;Фамилия;Дата рождения;Пол;Где опубликована запись (укажи название источника)? ;Укажи ссылку на пост в источнике;Тип публикации;Дата публикации;Сколько прочтений/просмотров собрала публикация через 7 дней после размещения?;Сколько лайков собрала публикация через 7 дней после размещения?;Сколько репостов собрала публикация через 7 дней после размещения?;Сколько комментариев собрала публикация через 7 дней после размещения?
;;;;;;;;;M;Новое школьное медиа;https://vk.com/newschoolmediaa?w=wall-215474125_26951;Пост;26.04.2023;2063;121;19;24
;;;;;;;;;Ж;Моя страница;vk.com/clip257986387_456239609?c=0;Клип;30.04.2023;378;34;-;1
;;;;;;;;;Ж;Моя страница;vk.com/clip257986387_456239542?c=0;Клип;23.04.2023;370;30;-;1
;;;;;;;;;Ж;Моя страница;vk.com/clip257986387_456239525?c=0;Клип;16.05.2023;611;49;1;3
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/adellisme?w=wall213708917_1548%2Fall;Пост;16.03.2023;709;77;7;3
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/adellisme?w=wall213708917_1552%2Fall;Пост;24.03.2023;720;73;3;6
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/adellisme?w=wall213708917_1559%2 Fall;Пост;30.03.2023;760;72;2;4
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/adellisme?w=wall213708917_1563%2Fall;Размещение публикации VK Джуниор;05.04.2023;208;2;1;0
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/adellisme?w=wall213708917_1565%2Fall;Размещение анонса мероприятия амбассадоров;12.04.2023;265;8;4;1
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/adellisme?w=wall213708917_1569%2Fall;Пост;18.04.2023;1.2k;51;10;4
;;;;;;;;;Ж;Телеграмм;https://vk.com/away.php?utf=1&to=https%3A%2F%2Ft.me%2Fschool_1409%2F4292;Пост;16.03.2023;300;8;нет статистики;0
;;;;;;;;;Ж;Официальное сообщество Университета МИСИС;https://vk.com/im?sel=194758854&w=wall-62258607_38307%2F06ecc834dabe1a2a04;Пост;26.04.2023;1900;10;2;0
;;;;;;;;;Ж;R?MICH;https://vk.com/wall-25330603_23989;Интервью;09.04.2023;20 827;429;107;9
;;;;;;;;;Ж;Официальное сообщество Университета МИСИС;https://vk.com/nust_misis?w=wall-62258607_38156;Пост;17.04.2023;10000;180;7;0
;;;;;;;;;Ж;личная страница;https://vk.com/katy__erm?w=wall380472842_1585;Клип;15.04.2023;980;46;2;0
;;;;;;;;;M;Сайт вуза;https://astr.ranepa.ru/news/?ELEMENT_ID=852201;Новость на сайте;18.04.2023;50;0;0;0
;;;;;;;;;Ж;личная страница;https://vk.com/katy__erm?w=wall380472842_1580;Пост;14.04.2023;902;45;5;4
;;;;;;;;;Ж;Личная страница;https://vk.com/katy__erm?w=wall380472842_1555;Пост;07.05.2023;800;22;11;0
;;;;;;;;;Ж;Личная страница;https://vk.com/katy__erm?w=wall380472842_1552;Пост;04.04.2023;901;30;2;0
;;;;;;;;;Ж;Активная молодёжь | Область молодых;https://vk.com/wall-89178150_1111;Пост;30.04.2023;576;31;2;0
;;;;;;;;;Ж;Личная страница;https://vk.com/wall139522908_4179;Пост;29.04.2023;210;2;0;1
;;;;;;;;;M;Моя страница;https://vk.com/wall261813839_482;Пост;17.04.2023;267;14;3;0
;;;;;;;;;M;ВКонтакте (личная страница);https://vk.com/wall613515705_310;Пост;18.04.2023;365;44;4;2
;;;;;;;;;Ж;Личная страница;https://vk.com/wall139522908_4178;Пост;23.04.2023;217;4;0;0
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall145743068_5665;Пост;18.04.2023;339;26;4;0
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall145743068_5633;Пост;18.01.2023;400;9;1;0
;;;;;;;;;Ж;Молодежная политика Иркутской области;https://vk.com/wall-118293021_10104;Пост;23.04.2023;1300;27;15;4
;;;;;;;;;Ж;МОЛОДЁЖЬ ИРКУТСКА;https://vk.com/wall-86603558_2971;Пост;19.04.2023;773;11;6;0
;;;;;;;;;Ж;ИАСиД ИРНИТУ | Профком студентов;https://vk.com/wall-47049001_11544;Пост;21.04.2023;530;14;0;0
;;;;;;;;;Ж;Телеграм-канал Цифровой кадровой платформы МАИ;https://t.me/platforma_mai_ru/430;Пост;25.04.2023;Пока неизвестно;-;-;-
;;;;;;;;;Ж;Детское объединение «Юность Кузбасса»;https://vk.com/lizzka_shev?w=wall-66232526_2715;Видео;30.03.2023;619;23;1;0
;;;;;;;;;Ж;Личная страничка;https://vk.com/lizzka_shev?w=wall310382837_1865;Пост;05.04.2023;1000;104;2;5
;;;;;;;;;Ж;Движение Первых | Кемерово;https://vk.com/skm_kem?w=wall-63400087_7161;Пост;12.04.2023;427;22;4;0
;;;;;;;;;Ж;Движение первых|Рязанская область;https://vk.com/wall-126750498_24423;Интервью;12.04.2023;1,2К;54;3;7
;;;;;;;;;Ж;R?MICH;https://vk.com/wall-25330603_23989;Интервью;09.04.2023;19 416;397;104;9
;;;;;;;;;Ж;R?MICH;https://vk.com/wall-25330603_23969;Пост;08.04.2023;32 937;1 474;212;15
;;;;;;;;;M;Личная страница ВКонтакте;https://vk.com/wall613515705_307;Пост;05.04.2023;329;22;2;2
;;;;;;;;;Ж;Движение первых|Рязанская область;https://vk.com/wall-126750498_24321;Пост;03.04.2023;2,1К;76;4;-
;;;;;;;;;M;Телеграмм канал «МОУ Гимназия №4 г. о. Электросталь»;https://t.me/gimnaziya4el/3083;Пост;31.03.2023;312;7;?;-
;;;;;;;;;M;Владислав Файзрахманов;https://vk.com/wall212953635_4152;Пост;29.03.2023;300;31;6;6
;;;;;;;;;M;Владислав Файзрахманов;https://vk.com/wenjiro;Пост;19.03.2023;457;26;5;7
;;;;;;;;;Ж;Личная страница;https://vk.com/katy__erm?w=wall380472842_1501%2Fall;Пост;21.03.2023;1149;57;1;38
;;;;;;;;;Ж;Личная страница;https://vk.com/katy__erm?w=wall380472842_1541%2Fall;Пост;28.03.2023;1571;111;6;9
;;;;;;;;;M;Владислав Файзрахманов;https://vk.com/wall212953635_4129;Пост;25.03.2023;997;82;4;16
;;;;;;;;;M;личная страница;https://vk.com/yourtimetofly?w=wall321041322_1668%2Fall;Пост;15.02.2023;210;24;3;0
;;;;;;;;;M;личная страница;https://vk.com/yourtimetofly?w=wall321041322_1665%2Fall;Пост;02.02.2023;368;17;1;2
;;;;;;;;;M;Личная страница;https://vk.com/liconite;Пост;15.03.2023;341;27;-;2
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall122091293_1220;Клип;15.03.2023;430;34;2;0
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall122091293_1212;Пост;03.03.2023;300;30;4;4
;;;;;;;;;Ж;Личная страница @lily_rak;https://vk.com/wall139522908_4177;Пост;25.03.2023;300;14;0;0
;;;;;;;;;Ж;R?MICH;https://vk.com/annieremich?w=wall-25330603_23779;подкаст;20.03.2023;19 806;554;279;9
;;;;;;;;;M;ВКонтакте (моя личная страница);https://vk.com/wall613515705_283;Пост;21.03.2023;527;36;9;22
;;;;;;;;;M;Студенческое Правительство АлтГТУ;https://vk.com/dimento?w=wall-26320301_8930;Пост;20.03.2023;2,2 к;51;28;1
;;;;;;;;;M;Факультет Информационных Технологий АлтГТУ | ФИТ;https://vk.com/dimento?w=wall-77894889_2453;Пост;15.03.2023;920;31;7;2
;;;;;;;;;M;ВКонтакте;https://vk.com/wall320579555_43;Пост;14.03.2023;70;7;1;-
;;;;;;;;;Ж;Муус устар;https://vk.com/wall-211413150_333;Пост;01.03.2023;1000;26;4;2
;;;;;;;;;Ж;Муус устар;https://vk.com/wall-211413150_325;Пост;28.02.2023;485;8;1;0
;;;;;;;;;Ж;Эхо столицы;https://exo-ykt.ru/articles/hedlaynerami-festivalya-muus-ustar-stanut-olimpiyskiy-chempion-vedushchiy-federalnogo-telekanala-i-ambassador-vkontakte;Статья с упоминанием;28.02.2023;-;-;-;-
;;;;;;;;;Ж;Муус устар;https://vk.com/wall-211413150_337;Пост;02.03.2023;449;13;1;0
;;;;;;;;;Ж;Кыым;https://kyym.ru/sonunnar/main/10561-dokuuskajga-muus-ustar-bestibeel-t-m-k-teree-ine-buoluo-a;Статья с упоминанием;01.03.2023;207;-;-;-
;;;;;;;;;Ж;Муус устар;https://vk.com/wall-211413150_323;Пост;27.02.2023;762;15;6;0
;;;;;;;;;Ж;Якутия.инфо;https://yakutia.info/article/208341;Статья с упоминанием;01.03.2023;-;-;-;-
;;;;;;;;;Ж;Личная страница;vk.com/clip162645455_456239517?c=1;Клип;01.03.2023;1 тысяча;40;1;0
;;;;;;;;;Ж;Личная страница;vk.com/clip162645455_456239567?c=1;Клип;25.03.2023;За 1 день: 1,2 тысячи;За 1 день: 52;За 1 день: 2;За 1 день: 9
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7506;Пост;21.03.2023;197;3;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7480;Пост;16.03.2023;194;2;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7479;Пост;16.03.2023;175;2;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7471;Пост;15.03.2023;1766;3;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7466;Пост;14.03.2023;662;4;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7464;Пост;14.03.2023;218;2;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7428;Пост;07.03.2023;263;3;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7405;Пост;01.03.2023;655;5;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7389;Пост;27.02.2023;290;5;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7373;Пост;21.02.2023;1878;1;0;0
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7367;Пост;20.02.2023;261;3;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7354;Пост;16.02.2023;200;2;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7327;Пост;14.02.2023;276;4;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7306;Пост;09.02.2023;212;3;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7300;Пост;08.02.2023;227;3;-;1
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7262;Пост;02.02.2023;187;3;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7256;Пост;01.02.2023;178;5;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7225;Пост;27.01.2023;190;3;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7205;Пост;24.01.2023;292;4;-;-
;;;;;;;;;Ж;IT news;https://t.me/IT_today_ru/7174;Пост;18.01.2023;238;3;-;-
;;;;;;;;;Ж;IT news;https://t.me/IT_today_ru/7149;Пост;13.01.2023;210;3;-;-
;;;;;;;;;Ж;IT news;https://t.me/IT_today_ru/7142;Пост;12.01.2023;239;3;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/7125;Пост;10.01.2023;539;1;-;-
;;;;;;;;;M;МОУ «Гимназия 4» г. о. Электросталь (Telegram канал);https://t.me/gimnaziya4el/2786;Пост;14.03.2023;350;5;?;-
;;;;;;;;;Ж;R?MICH;https://vk.com/wall-25330603_23718;подкаст;12.03.2023;17 903;418;208;13
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1668;Пост;03.03.2023;600;30;21;1
;;;;;;;;;M;Официальная страница VK МТУСИ;https://vk.com/mtuci?w=wall-786_8685;Пост;01.02.2023;2000;33;17;8
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1666;Пост;31.01.2023;350;11;0;1
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1664;Пост;30.01.2023;300;21;2;0
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1663;Пост;29.01.2023;300;18;0;0
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1661;Пост;26.01.2023;600;30;6;1
;;;;;;;;;M;Моя страница;https://vk.com/max__johnson?w=wall135784666_1658;Пост;25.01.2023;600;27;7;2
;;;;;;;;;M;Моя страница;https://vk.com/max__johnson?w=wall135784666_1648;Клип;24.01.2023;1000;48;3;3
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1647;Пост;19.01.2023;300;14;2;0
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1641;Пост;25.12.2022;1000;60;1;5
;;;;;;;;;M;Личная страница ВКонтакте;https://vk.com/ilkatkov?w=wall142446929_4507;Пост;09.03.2023;535;54;2;6
;;;;;;;;;M;Оф. сайт гимназии №4;https://estalsch4.edumsko.ru/about/news/2484799;Новость на сайте;15.03.2023;?;-;-;-
;;;;;;;;;Ж;IT news;https://t.me/IT_today_ru/6993;Пост;14.12.2022;206;3;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/6990;Пост;14.12.2022;163;4;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/6969;Пост;13.12.2022;215;5;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/6965;Пост;12.12.2022;216;2;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/6954;Пост;09.12.2022;254;2;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/6940;Пост;07.12.2022;188;4;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/6916;Пост;12.12.2022;180;2;-;-
;;;;;;;;;Ж;IT News;https://t.me/IT_today_ru/6914;Пост;02.12.2022;197;3;-;-
;;;;;;;;;Ж;IT News;https://ok.ru/samyevazh/topic/154690400773501;Пост;02.12.2022;-;2;-;-
;;;;;;;;;Ж;IT News;https://ok.ru/samyevazh/topic/154689836180861;Пост;02.12.2022;-;4;-;-
;;;;;;;;;Ж;IT News;https://ok.ru/samyevazh/topic/154677237540221;Пост;28.11.2022;-;2;-;-
;;;;;;;;;Ж;IT News;https://dzen.ru/a/YmFYJGKr6AbDORXW?share_to=link;Пост;17.05.2022;-;7;-;-
;;;;;;;;;Ж;IT News;https://dzen.ru/a/Yp36WZ9XyyDo3wkt?share_to=link;Пост;07.06.2022;-;8;-;-
;;;;;;;;;Ж;IT News;https://dzen.ru/b/Y3U9NLM3yA6rTydW?share_to=link;Пост;16.11.2022;-;1;-;-
;;;;;;;;;Ж;IT News Дзен;https://dzen.ru/b/Y00YAuMj-kbmahMj?share_to=link;Пост;17.10.2022;5;-;-;-
;;;;;;;;;Ж;IT News;https://dzen.ru/b/Y3uXGTHV1DZgw8ma?share_to=link;Пост;21.11.2022;-;2;-;-
;;;;;;;;;Ж;IT News;https://vk.com/wall-212329028_1099;Пост;02.12.2022;18;3;-;-
;;;;;;;;;Ж;IT News;https://vk.com/wall-212329028_1098;Пост;02.12.2022;20;3;-;-
;;;;;;;;;M;Личная страница VK;https://vk.com/ilkatkov?w=wall142446929_4478;Пост;22.02.2023;910;93;6;18
;;;;;;;;;M;тест;ттт;Пост;16.03.2023;567;55;5;5
;;;;;;;;;M;Страница ВКонтакте;https://vk.com/ilkatkov?w=wall142446929_4478;Пост;22.02.2023;856;91;6;18
;;;;;;;;;Ж;"Сообщества - Ассоциация волонтёрских центров; Комитет по молодёжной политике Лен. области; Добро.Центр Бокситогорск; личная страница + сегодня и в ближайшие дни будет опубликовано во всех Добро.Центрах";https://vk.com/wall-76623756_29072?access_key=91ae1d686ccd607276  https://vk.com/wall-28794772_37040?access_key=3888e245e22b2c18a6  https://vk.com/wall-170536285_2080  vk.com/clip162645455_456239511?c=;Пост;25.02.2023;15000;300;70;30
;;;;;;;;;Ж;Сообщество - Гармония в Политехе;https://vk.com/wall-102612225_7204;Пост;01.02.2023;753;18;1;Закрыты
;;;;;;;;;Ж;R?MICH;https://vk.com/wall-25330603_23498;подкаст;28.02.2023;11 503;309;121;15
;;;;;;;;;M;Личная страница;https://vk.com/wall160979203_1283;Пост;28.02.2023;150;15;0;0
;;;;;;;;;Ж;Личная страница;https://vk.com/clip293881653_456239082?c=1;Клип;09.02.2023;627;34;-;-
;;;;;;;;;Ж;Детский технопарк «Кванториум» Ижевск;https://vk.com/wall-146322228_11846;Пост;22.02.2023;4.8 тысяч;78;12;4
;;;;;;;;;Ж;Профиль пользователя;https://vk.com/wall40602771_14808;Упоминание;22.02.2023;1.3 тысячи;43;3;1
;;;;;;;;;Ж;Детский технопарк «Кванториум» Ижевск;https://vk.com/wall-146322228_11846;Пост;22.02.2023;4 000;70;11;4
;;;;;;;;;M;Личная страница ВКонтакте;https://vk.com/wall613515705_277;Пост;13.02.2023;672;59;0;4
;;;;;;;;;Ж;ВК;https://vk.com/wall139522908_4174;Пост;16.02.2023;321;10;2;0
;;;;;;;;;Ж;Клуб Проектных Инициатив Университета МИСИС;https://vk.com/wall-198475439_1089;Пост;14.02.2023;219;8;-;-
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall122091293_1195;Пост;06.02.2023;325;23;2;0
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1725;Пост;19.01.2023;250;19;2;0
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1727;Пост;27.01.2023;467;25;4;0
;;;;;;;;;Ж;Клуб Проектных Инициатив Университета МИСИС;https://vk.com/wall-198475439_1085;Пост;05.02.2023;-;-;-;-
;;;;;;;;;Ж;Паблик ВКонтакте;https://vk.com/wall-205589957_830;Пост;30.01.2023;879;24;1;-
;;;;;;;;;Ж;R?MICH;https://vk.com/annieremich?w=wall-25330603_22418;Пост;25.01.2023;16 969;119;7;3
;;;;;;;;;Ж;R?MICH;https://vk.com/annieremich?trackcode=19ff3d80UBKH7UBKwMyipzBf0AyCe7GtzKym_h0DGIlGco7qpubmc0MHui-ttbWvK1DjAolIg7f8oqTmHh8CiVd40Z4&w=wall-25330603_22421;Пост;25.01.2023;16 839;995;121;19
;;;;;;;;;Ж;ITMO.STUDENTS;https://vk.com/itmostudents?w=wall-2499902_39450;Пост;30.01.2023;4200;22;16;6
;;;;;;;;;M;Студенческое Правительство АлтГТУ;https://vk.com/wall-26320301_8570;Пост;26.12.2022;6000;80;17;3
;;;;;;;;;Ж;Академия амбассадоров НИТУ «МИСИС» - сообщество ВКонтакте;https://vk.com/wall-205119068_134;Пост;27.01.2023;170;10;0;0
;;;;;;;;;Ж;Университет МИСИС - Официальное сообщество ВКонтакте;https://vk.com/wall-62258607_36931;Пост;26.01.2023;3900;54;16;0
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/wall392675559_561;Пост;23.01.2023;313;14;0;1
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/clip392675559_456239361;Клип;06.01.2023;1225;41;1;1
;;;;;;;;;Ж;Gastroport Тула;https://vk.com/wall-195847078_954;Пост;26.01.2023;637;16;7;4
;;;;;;;;;Ж;Ресурсный центр Тульская область;https://vk.com/wall-119385532_26702;Пост;27.01.2023;425;5;3;1
;;;;;;;;;Ж;Моя страница;https://vk.com/wall399830026_48432;Пост;26.01.2023;592;31;9;3
;;;;;;;;;Ж;VK;https://vk.com/vikabaxareva?w=wall196938698_1405%2Fall;Пост;22.10.2022;423;50;1;13
;;;;;;;;;Ж;Моя страница;https://vk.com/wall399830026_48437;Пост;28.01.2023;675;59;3;14
;;;;;;;;;Ж;VK;https://vk.com/vikabaxareva?w=wall196938698_1428%2Fall;Пост;31.01.2023;43;7;-;-
;;;;;;;;;M;Моя страница ВКонтакте;https://vk.com/wall613515705_257;Пост;21.01.2023;457;34;6;0
;;;;;;;;;M;Моя страница ВКонтакте;https://vk.com/wall613515705_254;Пост;21.01.2023;391;44;1;12
;;;;;;;;;M;Личная страница ВКонтакте;https://vk.com/ilkatkov?w=wall142446929_4440;Пост;17.01.2023;349;26;3;13
;;;;;;;;;M;Белгородский индустриальный колледж;https://vk.com/bin_coll?w=wall-96734561_7283;новость в оф. группе ВКонтакте;17.01.2023;2000;60;11;3
;;;;;;;;;M;МОУ «Гимназия 4» г. о. Электросталь (telegram канал);https://t.me/gimnaziya4el/2121;Пост;18.01.2023;300;6;?;-
;;;;;;;;;M;Личная страница;https://vk.com/liconite?w=wall487640536_1354%2Fall;Пост;20.01.2023;253;48;0;1
;;;;;;;;;M;Муниципальное общеобразовательное учреждение «Гимназия №4» (оф сайт);https://estalsch4.edumsko.ru/about/news/2434142;Статья;19.01.2023;?;-;-;-
;;;;;;;;;M;vk.com;https://vk.com/ilkatkov?w=wall142446929_4397;Пост;24.12.2022;1000;66;4;4
;;;;;;;;;M;vk.com;https://vk.com/ilkatkov?w=wall142446929_4389;Пост;19.12.2022;1100;60;1;6
;;;;;;;;;M;vk.com;https://vk.com/ilkatkov?w=wall142446929_4353;Пост;17.12.2022;2800;131;4;36
;;;;;;;;;M;"Медиацентр МАОУ г. Пушкино ""Гимназия №10""";https://vk.com/wall-216594522_51;Пост;27.10.2022;311;20;1;Комментарии отключены
;;;;;;;;;M;моя стена;https://vk.com/leshkartoshka74?w=wall397207329_1103;Пост;05.12.2022;595;46;1;6
;;;;;;;;;M;ВКонтакте;https://vk.com/wall613515705_244;Пост;25.12.2022;193;24;0;0
;;;;;;;;;M;ВКонтакте;https://vk.com/wall613515705_227;Пост;24.12.2022;879;64;1;14
;;;;;;;;;Ж;Личная страница;https://vk.com/wall139522908_4171;Пост;30.12.2022;352;15;0;2
;;;;;;;;;Ж;vk;https://vk.com/vikabaxareva?w=wall196938698_1425%2Fall;Пост;24.11.2022;245;13;2;1
;;;;;;;;;Ж;Личная страница;https://vk.com/wall139522908_4167;Пост;20.12.2022;520;23;0;3
;;;;;;;;;Ж;Добро.Центр Бокситогорский район;https://vk.com/wall-170536285_1986;Пост;19.12.2022;2.200;41;22;-
;;;;;;;;;Ж;Личная страница;https://vk.com/clip162645455_456239430;Клип;21.12.2022;919;29;1;5
;;;;;;;;;Ж;Личная страница;https://vk.com/clip162645455_456239429;Клип;13.12.2022;963;40;1;6
;;;;;;;;;Ж;Личная страница;https://vk.com/wall162645455_1694;Пост;04.12.2022;425;47;0;3
;;;;;;;;;Ж;Личная страница;https://vk.com/wall139522908_4167;Пост;21.12.2022;Примерно больше 500;21+;0;3+
;;;;;;;;;M;Личная страница;https://vk.com/max_astrakhan?w=wall160979203_1281%2Fall;Пост;17.12.2022;342;41;2;0
;;;;;;;;;Ж;РДШ Тульской области;https://vk.com/wall-119385532_26624;Пост;08.12.2022;206;12;4;1
;;;;;;;;;Ж;R?MICH;https://vk.com/annieremich?w=wall-25330603_15725;Пост;05.12.2022;28633;1400;75;46
;;;;;;;;;Ж;Моя страница;https://vk.com/wall399830026_48325;Пост;05.12.2022;397;37;1;1
;;;;;;;;;Ж;Моя страница;https://vk.com/wall399830026_48316;Пост;01.12.2022;962;59;4;7
;;;;;;;;;M;ВКонтакте;https://vk.com/wall142446929_4312;Пост;30.11.2022;1200;97;4;20
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/olesya_selezneva?w=narrative145743068_13433_456239262;Сторис;12.10.2022;100;0;0;0
;;;;;;;;;Ж;Личная страница ВКонтакте;https://vk.com/olesya_selezneva?w=narrative145743068_13433_456239278;Сторис;05.12.2022;74;1;0;0
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1614%2Fall;Пост;01.12.2022;885;28;3;9
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1611%2Fall;Пост;24.11.2022;288;10;1;1
;;;;;;;;;M;Дзен канал МТУСИ;https://dzen.ru/a/Y23xp6qpujFn2TuZ;Статья;11.11.2022;неизвестно;20;неизвестно;0
;;;;;;;;;M;Телеграмм канал МТУСИ;https://telegra.ph/Studenty-MTUSI-stali-ambassadorom-VK-11-10;Статья;11.11.2022;847;10;неизвестно;0
;;;;;;;;;M;МТУСИ (MTUCI);https://vk.com/max__johnson?w=wall-786_8259;Пост;11.11.2022;6300;82;23;9
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1607%2Fall;Пост;10.11.2022;451;39;0;2
;;;;;;;;;Ж;https://vk.com/irapospelova;https://vk.com/wall1595779_6412;Пост;01.01.2023;2200;121;-;-
;;;;;;;;;M;Моя страница VK;https://vk.com/max__johnson?w=wall135784666_1605%2Fall;Пост;10.11.2022;339;19;2;1
;;;;;;;;;Ж;Школа №2000. Москва. Официальный канал.;https://t.me/sch2000edu/2262;Пост;28.10.2022;3100;-;-;8
;;;;;;;;;Ж;Школа №2000;https://vk.com/wall-160779209_2807;Пост;28.10.2022;6700;138;1;-
;;;;;;;;;Ж;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2000»;https://sch2000u.mskobr.ru/edu-news/5035;Статья;25.10.2022;-;-;-;-
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall593811522_147;Пост;29.10.2022;416;49;1;14
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall593811522_164;Пост;01.12.2022;400;40;-;-
;;;;;;;;;Ж;ВКонтакте;https://vk.com/wall593811522_168;Пост;03.12.2022;466;42;1;2
